index_code,date,open,close,low,high,volume,money,change,MA_5,MA_20,MA_60,EMA_5,EMA_20,EMA_60
sh000001,2014-07-29,2179.83,2183.19,2172.1,2193.52,20026425700,159000000000.0,0.002407771,2134.2599999999998,2077.505,2050.4828333333335,2143.304866022223,2088.879130445332,2064.3547481618752
sh000001,2014-07-28,2135.25,2177.95,2135.25,2181.5,23618575200,180000000000.0,0.024138842,2112.718,2070.8645,2047.8855,2123.3622990333347,2078.9516704922094,2060.326420512579
sh000001,2014-07-25,2108.71,2126.61,2106.71,2127.22,14249582600,111000000000.0,0.010238178,2088.024,2064.3835000000004,2045.359,2096.0684485500024,2068.5307937019156,2056.339166174652
sh000001,2014-07-24,2079.63,2105.06,2079.63,2107.95,16567699600,129000000000.0,0.012784768,2074.5160000000005,2059.8785,2043.5878333333333,2080.7976728250032,2062.4171930389593,2053.9570951441983
sh000001,2014-07-23,2074.2,2078.49,2072.23,2088.19,13729221100,107000000000.0,0.001449303,2064.622,2056.5595,2041.895,2068.6665092375047,2057.9284765167445,2052.224786617851
sh000001,2014-07-22,2050.5,2075.48,2049.82,2078.09,12319186800,98702436643.0,0.010222543,2062.38,2053.91,2041.1955000000003,2063.7547638562573,2055.7641056237703,2051.334436858822
sh000001,2014-07-21,2057.77,2054.48,2049.18,2061.82,9385787000,75706180211.0,-0.002228194,2061.356,2051.8325,2040.888,2057.892145784386,2053.6887483210094,2050.515939825835
sh000001,2014-07-18,2047.5,2059.07,2046.0,2067.23,10664109400,82510264416.0,0.001690998,2063.79,2050.327,2041.1029999999998,2059.598218676578,2053.605458670589,2050.3815643331354
sh000001,2014-07-17,2062.89,2055.59,2046.19,2062.89,10449181200,79106281032.0,-0.005652366,2061.368,2048.707,2041.3323333333333,2059.8623280148677,2053.030243793809,2050.0870397950207
sh000001,2014-07-16,2068.34,2067.28,2061.57,2075.49,13712802000,102000000000.0,-0.001488149,2057.918,2047.1144999999997,2041.503,2061.9984920223014,2052.7607957721043,2049.900497922999
